,pca_components,squeeze_num,read,squeeze,extract_num,concat,PCA,recoverImg,extraction,compare,saveImg,total,calc_total
80,1,4,24.998,4.423,12,0.0,0.001,0,10.58,20.262,0,60.27,30.842
80,1,3,25.47,6.023,12,0.0,0.001,0,10.45,20.291,0,62.243,30.741
80,1,2,23.451,7.213,12,0.0,0.002,0,10.566,17.87,0,59.11,28.436
80,1,1,23.356,16.108,12,0.0,0.005,0,10.393,21.238,0,71.109,31.631
95,13,4,20.339,3.375,12,0.0,0.009,0,11.26,17.585,0,52.577,28.845
95,20,3,19.339,3.944,12,0.0,0.011,0,11.382,17.663,0,52.35,29.045
95,26,2,19.243,4.8,12,0.0,0.015,0,11.445,17.708,0,53.22,29.153
95,29,1,25.388,9.261,12,0.0,0.047,0,11.575,18.984,0,65.268,30.559
99,161,4,19.609,3.521,12,0.0,0.013,0,23.657,17.78,0,64.608,41.437
99,255,3,19.426,3.829,12,0.0,0.035,0,30.306,17.495,0,71.132,47.801
99,355,2,19.117,4.769,12,0.0,0.152,0,37.449,17.817,0,79.356,55.266
99,397,1,24.751,8.87,12,0.0,0.752,0,48.865,18.073,0,101.378,66.938
80,1,4,79.61,11.314,1287,0.0,0.013,0,67.463,4457.61,0,4616.078,4525.072999999999
80,1,3,154.185,22.14,1287,0.003,0.013,0,24.787,3456.976,0,3658.131,3481.763
80,1,2,48.475,8.031,1287,0.0,0.002,0,6.822,1943.582,0,2006.921,1950.404
80,1,1,92.968,30.047,1287,0.001,0.009,0,14.528,3205.075,0,3342.652,3219.603
95,13,4,58.874,4.718,1287,0.001,0.002,0,7.422,1968.249,0,2039.276,1975.671
95,20,3,43.416,5.847,1287,0.0,0.004,0,7.605,1926.463,0,1983.355,1934.068
95,26,2,48.511,7.493,1287,0.001,0.014,0,8.037,1974.478,0,2038.547,1982.515
95,29,1,99.934,54.08,1287,0.002,0.178,0,16.427,2937.669,0,3108.321,2954.096
99,161,4,47.121,4.37,1287,0.0,0.006,0,19.332,1915.095,0,1985.956,1934.427
99,255,3,48.424,5.641,1287,0.001,0.033,0,26.432,1950.182,0,2030.756,1976.614
99,355,2,45.649,7.438,1287,0.0,0.151,0,34.078,1924.072,0,2011.444,1958.15
99,397,1,95.974,32.855,1287,0.001,1.67,0,66.877,2839.985,0,3038.021,2906.862
80,1,4,23.093,3.616,128,0.0,0.001,0,10.524,218.722,0,255.963,229.246
80,1,3,25.228,5.338,128,0.0,0.001,0,10.563,219.091,0,260.227,229.654
80,1,2,23.014,4.441,128,0.0,0.001,0,10.714,190.713,0,228.891,201.427
80,1,1,20.524,7.765,128,0.0,0.007,0,10.708,193.665,0,232.678,204.373
95,13,4,20.456,4.891,128,0.0,0.002,0,11.239,191.421,0,228.019,202.66
95,20,3,41.603,7.811,128,0.0,0.004,0,11.4,190.115,0,250.946,201.515
95,26,2,32.586,7.688,128,0.0,0.012,0,11.624,189.517,0,241.443,201.141
95,29,1,20.178,15.756,128,0.0,0.046,0,11.845,194.241,0,242.08,206.086
99,161,4,20.335,5.746,128,0.001,0.013,0,23.211,192.44,0,241.785,215.651
99,255,3,35.303,5.615,128,0.0,0.028,0,28.81,193.376,0,263.18,222.186
99,355,2,21.504,7.502,128,0.0,0.143,0,37.159,192.267,0,258.628,229.426
99,397,1,19.214,15.522,128,0.0,0.603,0,40.397,199.782,0,275.584,240.179
