,squeeze_num,read,squeeze,extraction,compare,saveImg,total,calc_total
1287-4,0,51.812,0,0,7083.54,0,7135.63,7083.54
1287-4,0,51.291,0,0,4480.925,0,4534.071,4480.925
1287-4,0,66.015,0,0,4529.953,0,4596.113,4529.953
1287-4,0,71.118,0,0,4504.209,0,4575.483,4504.209
12875-4,0,82.172,0,0,4447.636,0,4529.983,4447.636
12875-4,0,61.569,0,0,4499.736,0,4561.607,4499.736
12875-4,0,61.287,0,0,4489.533,0,4551.121,4489.533
12875-4,0,63.022,0,0,4357.305,0,4420.628,4357.305
128750-4,0,61.534,0,0,4489.11,0,4550.937,4489.11
128750-4,0,58.096,0,0,4427.912,0,4486.29,4427.912
128750-4,0,58.202,0,0,4410.011,0,4468.462,4410.011
128750-4,0,60.505,0,0,4523.015,0,4583.817,4523.015
12-4,0,37.933,0,0,4948.424,0,4986.582,4948.424
12-4,0,36.315,0,0,2759.225,0,2796.403,2759.225
12-4,0,23.245,0,0,2421.724,0,2445.1,2421.724
12-4,0,32.873,0,0,2424.686,0,2457.691,2424.686
128-4,0,21.89,0,0,2429.752,0,2451.787,2429.752
128-4,0,21.943,0,0,2416.709,0,2438.777,2416.709
128-4,0,18.997,0,0,2411.179,0,2430.305,2411.179
128-4,0,18.887,0,0,2417.424,0,2436.438,2417.424
1287-4,0,19.066,0,0,2430.462,0,2449.653,2430.462
1287-4,0,18.864,0,0,2417.526,0,2436.517,2417.526
1287-4,0,18.925,0,0,2433.657,0,2452.707,2433.657
1287-4,0,18.839,0,0,2412.21,0,2431.178,2412.21
