,20150917,20060814,20141204,20101206,20130502,19850808,20150226,19840926,19890218,20060420,19880425,19871231,20081107,20031107,20101122,19991229,20111213,20161014,20100525,19890802,20070421,19820512,19920527,20140428,20050529,19830717,20011002,19930515,19960902,19880527
1287-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
1287-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
1287-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
1287-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
12875-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
12875-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
12875-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
12875-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
128750-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
128750-4,"['20150917', 0]","['20060814', 0]","['20141204', 0]","['20101206', 0]","['20130502', 0]","['19850808', 0]","['20150226', 0]","['19840926', 0]","['19890218', 0]","['20060420', 0]","['19880425', 0]","['19871231', 0]","['20081107', 0]","['20031107', 0]","['20101122', 0]","['19991229', 0]","['20111213', 0]","['20161014', 0]","['20100525', 0]","['19890802', 0]","['20070421', 0]","['19820512', 0]","['19920527', 0]","['20140428', 0]","['20050529', 0]","['19830717', 0]","['20011002', 0]","['19930515', 0]","['19960902', 0]","['19880527', 0]"
