,20150917,20060814,20141204,20101206,20130502,19850808,20150226,19840926,19890218,20060420
0,"['19930902', 0.0]","['19990816', 0.0]","['19930520', 0.001]","['20091205', 0.009]","['20000430', 0.0]","['19980921', 0.0]","['19870210', 0.0]","['20031004', 0.003]","['20000229', 0.0]","['19820424', 0.003]"
1,"['20160919', 0.0]","['20090823', 0.001]","['19811129', 0.001]","['19961204', 0.011]","['20011220', 0.0]","['19940723', 0.0]","['20020306', 0.0]","['20010713', 0.003]","['19960312', 0.0]","['19910105', 0.004]"
2,"['19880812', 0.0]","['20000830', 0.002]","['20050519', 0.002]","['19831202', 0.013]","['19991221', 0.0]","['20050925', 0.001]","['20080227', 0.0]","['19920928', 0.006]","['20040307', 0.0]","['19990419', 0.005]"
3,"['19830815', 0.0]","['20030904', 0.003]","['19941205', 0.002]","['19951204', 0.023]","['19920504', 0.005]","['20000724', 0.004]","['20110313', 0.0]","['19970716', 0.01]","['20020221', 0.0]","['19821229', 0.006]"
4,"['19830816', 0.0]","['20160809', 0.005]","['19961201', 0.013]","['20001205', 0.024]","['19931220', 0.005]","['20010922', 0.005]","['20040215', 0.001]","['20030714', 0.012]","['20020226', 0.0]","['20160419', 0.006]"
5,"['19820821', 0.0]","['20040820', 0.009]","['19921130', 0.014]","['19971203', 0.03]","['19951222', 0.006]","['20090919', 0.006]","['19980224', 0.001]","['20120711', 0.017]","['20120309', 0.0]","['19870427', 0.007]"
6,"['19940729', 0.0]","['19980821', 0.012]","['20080518', 0.015]","['20041207', 0.033]","['19990430', 0.007]","['19920915', 0.006]","['19960212', 0.001]","['20040714', 0.019]","['20000228', 0.0]","['20040104', 0.015]"
7,"['20020911', 0.0]","['20160810', 0.013]","['19901204', 0.022]","['19980516', 0.033]","['19941223', 0.009]","['19830916', 0.007]","['19900217', 0.001]","['19991006', 0.038]","['19910226', 0.0]","['19950420', 0.018]"
8,"['19900809', 0.0]","['20030809', 0.013]","['19910523', 0.022]","['20121206', 0.034]","['19861219', 0.012]","['19870908', 0.007]","['19880316', 0.001]","['19901002', 0.04]","['19980218', 0.0]","['19830425', 0.031]"
9,"['20000912', 0.0]","['20070821', 0.018]","['19991203', 0.023]","['20071205', 0.037]","['19910503', 0.027]","['19950727', 0.008]","['20000220', 0.004]","['19920718', 0.061]","['19980310', 0.0]","['20090101', 0.032]"
10,"['19830814', 0.001]","['19940815', 0.019]","['20081203', 0.027]","['19901207', 0.08]","['20031221', 0.027]","['20010723', 0.01]","['20050313', 0.004]","['19960718', 0.061]","['19920209', 0.001]","['19920101', 0.033]"
11,"['19830823', 0.002]","['19940818', 0.021]","['20011202', 0.048]","['20120513', 0.103]","['20120429', 0.037]","['19910729', 0.013]","['19980306', 0.004]","['19880717', 0.064]","['19960206', 0.001]","['20070422', 0.046]"
12,"['19970804', 0.003]","['20160807', 0.025]","['19871129', 0.051]","['20090516', 0.111]","['19961221', 0.039]","['20030723', 0.018]","['19920226', 0.004]","['20011003', 0.064]","['20010313', 0.002]","['19920423', 0.046]"
13,"['19910903', 0.003]","['20050905', 0.029]","['19911203', 0.057]","['20161206', 0.114]","['19871217', 0.044]","['19820911', 0.02]","['19930227', 0.005]","['19870722', 0.074]","['20080309', 0.002]","['19960424', 0.059]"
14,"['19930825', 0.004]","['20090818', 0.031]","['20070519', 0.07]","['19881201', 0.121]","['19820505', 0.053]","['19950919', 0.021]","['19910223', 0.005]","['19910930', 0.08]","['19970215', 0.002]","['19930102', 0.062]"
