,19840322,19850720,19870809,19880517,19850524,19830517,19870328,19840205,19850813,19881215,19870506,19830706,19890228,19890820,19860413,19891110,19860328,19850330,19860804,19830914,19830315,19850801,19820603,19870216,19870304,19891214,19880616,19880926,19860211,19890209,19841111,19860430,19841229,19880617,19880911,19890224,19871112,19880603,19811005,19880906,19880504,19870101,19840409,19860418,19870406,19860811,19851201,19820606,19880224,19891002,19881113,19861217,19820905,19820501,19860121,19821024,19860809,19840423,19870615,19891013,19820514,19881111,19890518,19851005,19870315,19850530,19840529,19880107,19811126,19850611,19860206,19880805,19840607,19850630,19841015,19811110,19830130,19830203,19850520,19860915,19850418,19891011,19840718,19841024,19850930,19860922,19870325,19840814,19850404,19870625,19860605,19870901,19811216,19831221,19880215,19851125,19831215,19850613,19850301,19820206,19880512,19840811,19820917,19811013,19830421,19860706,19820519,19880323,19840114,19821229,19821123,19890320,19850121,19820328,19840604,19811207,19811230,19890703,19871017,19840515,19850824,19811214,19860304,19880114,19840115,19841123,19840104,19821225,19811129,19831014,19891121,19890624,19850320,19890219,19830605,19870604,19821014,19870316,19840427,19891029,19830915,19880803,19840318,19890519,19840712,19851203,19831202,19870403,19831229,19860929,19861027,19841017,19890911,19870220,19831013,19840820,19851202,19860908,19841028,19831223,19870919,19880112,19860415,19850114,19830425,19860710,19841215,19850929,19820802,19890308,19820628,19880523,19860603,19841016,19850713,19870308,19830709,19820610,19890114,19830311,19880609,19861129,19861106,19831128,19860210,19820121,19831204,19830804,19870107,19820315,19821106,19870702,19860314,19841022,19811124,19830118,19840904,19840702,19830518,19880305,19880106,19831106,19820122,19850523,19820118,19870528,19870830,19840624,19860115,19860310,19870819,19811028,19830527,19860323,19831207,19840611,19860719,19830423,19840419,19820317,19850726,19870504,19860610,19851209,19861030,19890629,19850502,19830328,19830705,19861128,19881221,19870523,19831115,19820926,19860628,19870106,19820604,19841009,19860512,19850109,19820705,19860727,19861210,19840506,19860422,19870705,19840222,19860714,19880828,19820224,19820702,19890726,19871216,19811106,19830816,19860112,19840616,19830525,19871016,19850227,19860510,19830711,19820807,19820423,19821016,19830108,19831001,19820724,19851013,19830814,19840927,19851118,19861031,19850901,19860502,19890704,19860111,19820924,19860215,19811027,19880628,19850818,19880626,19850401,19870701,19861110,19850126,19830212,19871123,19831230,19890316,19840805,19820719
0.1,"['19890328', 292080]","['19860725', 187777]","['19870730', 149199]","['19880430', 380235]","['19830601', 548610]","['19830601', 302189]","['19830411', 281681]","['19840131', 71575]","['19840902', 468186]","['19890103', 377024]","['19880430', 292893]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19860502', 428877]","['19831110', 223134]","['19880403', 406322]","['19820329', 227208]","['19860731', 74869]","['19830831', 174246]","['19830402', 178792]","['19861013', 913104]","['19830609', 390897]","['19850203', 304196]","['19820321', 349046]","['19821210', 416350]","['19880701', 377375]","['19881001', 86974]","['19850130', 284498]","['19890131', 105586]","['19861103', 281674]","['19860501', 17895]","['19850101', 62127]","['19880701', 332471]","['19820829', 473929]","['19890302', 63288]","['19871031', 215251]","['19830606', 469652]","['19861001', 325992]","['19820820', 442760]","['19880430', 63494]","['19820101', 307215]","['19880415', 260629]","['19860502', 269951]","['19830411', 220836]","['19860730', 183187]","['19831123', 361555]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19881031', 261914]","['19821215', 273732]","['19820827', 111101]","['19820430', 15450]","['19820120', 231973]","['19821101', 136662]","['19860731', 146656]","['19830415', 455949]","['19830608', 383688]","['19890928', 309680]","['19820430', 279502]","['19881031', 212651]","['19890602', 436694]","['19831002', 282592]","['19880314', 246887]","['19830609', 556604]","['19830602', 450272]","['19871231', 114699]","['19831123', 161788]","['19830616', 418598]","['19850131', 264673]","['19880731', 105842]","['19830606', 474031]","['19820710', 355949]","['19861007', 347885]","['19831111', 190208]","['19840121', 459445]","['19821230', 635208]","['19830602', 618906]","['19861001', 345055]","['19820423', 303073]","['19890926', 336454]","['19820709', 512747]","['19831017', 344352]","['19840925', 350228]","['19861001', 169117]","['19830411', 315382]","['19820816', 429661]","['19830410', 463123]","['19870701', 124470]","['19860531', 103363]","['19840924', 483449]","['19820101', 293369]","['19840101', 176477]","['19880302', 137723]","['19831125', 304298]","['19831130', 323667]","['19830614', 451471]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,"['19880312', 233720]","['19860724', 185302]","['19870731', 138873]","['19880430', 380235]","['19890601', 373725]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19820816', 316775]","['19890101', 317757]","['19880430', 292893]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19860501', 391724]","['19831109', 222822]","['19820313', 227497]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19820816', 364946]","['19890601', 326200]","['19820305', 257158]","['19880309', 278947]","['19831130', 347817]","['19880701', 377375]","['19881001', 86974]","['19850221', 219209]","['19890130', 105302]","['19831110', 199057]","['19860501', 17895]","['19850101', 62127]","['19880701', 332471]","['19881001', 325741]","['19890301', 54957]","['19871031', 215251]","['19890602', 260236]","['19861005', 292665]","['19881003', 429006]","['19880430', 63494]","['19821231', 241007]","['19880406', 189631]","['19860501', 238079]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831113', 244153]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19820121', 228776]","['19821101', 136662]","['19860731', 146656]","['19890427', 249133]","['19830616', 314331]","['19890930', 247478]","['19820430', 279502]","['19881031', 212651]","['19890430', 371021]","['19831005', 265740]","['19880310', 235036]","['19890602', 248340]","['19890601', 298531]","['19871231', 114699]","['19831126', 147565]","['19890602', 281890]","['19850221', 234242]","['19880731', 105842]","['19890604', 308010]","['19820704', 233630]","['19861017', 269202]","['19831109', 187530]","['19840131', 446157]","['19830401', 329004]","['19880430', 554689]","['19820831', 313894]","['19820417', 256482]","['19890930', 215342]","['19860718', 315072]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830401', 225269]","['19840901', 279619]","['19820326', 190185]","['19870701', 124470]","['19860531', 103363]","['19870730', 347222]","['19820101', 293369]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19831130', 323667]","['19890604', 267731]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,"['19880311', 230835]","['19860724', 185302]","['19870731', 138873]","['19880430', 380235]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19820815', 299521]","['19890101', 317757]","['19860507', 273764]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19820412', 237725]","['19831109', 222822]","['19820316', 225298]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19860730', 203485]","['19890601', 326200]","['19820304', 257063]","['19880302', 275003]","['19871209', 320576]","['19890615', 262669]","['19881001', 86974]","['19850221', 219209]","['19890130', 105302]","['19831109', 198762]","['19860501', 17895]","['19850101', 62127]","['19890617', 256347]","['19890913', 311838]","['19890301', 54957]","['19871031', 215251]","['19890603', 257146]","['19840930', 265694]","['19890913', 313466]","['19880430', 63494]","['19840102', 221974]","['19880406', 189631]","['19820415', 232204]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831112', 244141]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19820122', 228631]","['19821101', 136662]","['19860731', 146656]","['19880417', 197133]","['19830616', 314331]","['19890930', 247478]","['19820430', 279502]","['19881031', 212651]","['19890430', 371021]","['19861008', 263908]","['19880311', 230727]","['19890601', 240073]","['19890601', 298531]","['19871231', 114699]","['19831126', 147565]","['19890606', 220408]","['19850221', 234242]","['19880731', 105842]","['19890605', 305639]","['19820704', 233630]","['19881017', 237028]","['19831109', 187530]","['19830401', 352924]","['19830401', 329004]","['19890430', 444443]","['19890915', 298050]","['19890407', 240936]","['19890930', 215342]","['19860728', 284428]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830401', 225269]","['19840901', 279619]","['19890403', 188096]","['19870701', 124470]","['19860531', 103363]","['19820826', 324839]","['19820101', 293369]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19871209', 284442]","['19890607', 224635]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,"['19880311', 230835]","['19860724', 185302]","['19870731', 138873]","['19880430', 380235]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19860730', 286527]","['19890101', 317757]","['19860507', 273764]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19820412', 237725]","['19831109', 222822]","['19820317', 223936]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19860730', 203485]","['19860531', 324665]","['19820304', 257063]","['19880302', 275003]","['19871214', 278845]","['19890615', 262669]","['19881001', 86974]","['19850221', 219209]","['19890130', 105302]","['19831109', 198762]","['19860501', 17895]","['19850101', 62127]","['19890617', 256347]","['19890918', 290409]","['19890301', 54957]","['19871031', 215251]","['19890603', 257146]","['19840930', 265694]","['19890918', 293847]","['19880430', 63494]","['19840102', 221974]","['19880406', 189631]","['19820415', 232204]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831112', 244141]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19840121', 212586]","['19821101', 136662]","['19860731', 146656]","['19880417', 197133]","['19830616', 314331]","['19890930', 247478]","['19860512', 231538]","['19881031', 212651]","['19860516', 228760]","['19861008', 263908]","['19880311', 230727]","['19890601', 240073]","['19890601', 298531]","['19871231', 114699]","['19831126', 147565]","['19890608', 203254]","['19850221', 234242]","['19880731', 105842]","['19890605', 305639]","['19820704', 233630]","['19881017', 237028]","['19831109', 187530]","['19830401', 352924]","['19830401', 329004]","['19860516', 236357]","['19890915', 298050]","['19890415', 203692]","['19890930', 215342]","['19860727', 282033]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830401', 225269]","['19840901', 279619]","['19890403', 188096]","['19870701', 124470]","['19860531', 103363]","['19820826', 324839]","['19820101', 293369]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19871214', 211277]","['19890610', 207383]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,"['19830414', 584416]","['19860729', 225987]","['19870730', 149199]","['19880430', 380235]","['19830601', 548610]","['19830601', 302189]","['19830411', 281681]","['19840131', 71575]","['19840902', 468186]","['19890102', 348839]","['19880430', 292893]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19860502', 428877]","['19831110', 223134]","['19820319', 232095]","['19820329', 227208]","['19860731', 74869]","['19830831', 174246]","['19820313', 404404]","['19861011', 869253]","['19830609', 390897]","['19820306', 260292]","['19850215', 432526]","['19821210', 416350]","['19880701', 377375]","['19881001', 86974]","['19850124', 320250]","['19890131', 105586]","['19861103', 281674]","['19860501', 17895]","['19850101', 62127]","['19880701', 332471]","['19881002', 342243]","['19890301', 54957]","['19871031', 215251]","['19830606', 469652]","['19861004', 295878]","['19820826', 436489]","['19880430', 63494]","['19820105', 350668]","['19880415', 260629]","['19860502', 269951]","['19830401', 233342]","['19860730', 183187]","['19831120', 411771]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19881031', 261914]","['19821215', 273732]","['19820831', 103826]","['19820430', 15450]","['19820120', 231973]","['19821101', 136662]","['19860731', 146656]","['19830415', 455949]","['19870701', 376383]","['19890930', 247478]","['19820430', 279502]","['19881031', 212651]","['19890602', 436694]","['19831003', 271169]","['19880314', 246887]","['19830602', 504948]","['19830602', 450272]","['19871231', 114699]","['19831124', 155969]","['19830614', 413607]","['19850205', 259092]","['19880731', 105842]","['19830609', 460849]","['19820708', 294516]","['19861015', 290841]","['19831111', 190208]","['19840117', 514047]","['19820131', 474173]","['19880430', 554689]","['19861001', 345055]","['19820423', 303073]","['19890926', 336454]","['19820709', 512747]","['19861015', 351718]","['19840925', 350228]","['19861001', 169117]","['19820323', 352375]","['19840901', 279619]","['19820329', 198243]","['19870701', 124470]","['19860531', 103363]","['19840924', 483449]","['19820101', 293369]","['19840101', 176477]","['19880302', 137723]","['19831125', 304298]","['19831130', 323667]","['19830614', 451471]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,"['19890328', 292080]","['19860724', 185302]","['19870731', 138873]","['19880430', 380235]","['19890601', 373725]","['19830601', 302189]","['19830405', 236371]","['19840131', 71575]","['19820816', 316775]","['19890101', 317757]","['19880430', 292893]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19860501', 391724]","['19831109', 222822]","['19820318', 226181]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19860723', 286717]","['19890601', 326200]","['19820304', 257063]","['19820306', 277589]","['19831130', 347817]","['19880701', 377375]","['19881001', 86974]","['19850213', 234943]","['19890130', 105302]","['19831110', 199057]","['19860501', 17895]","['19850101', 62127]","['19880701', 332471]","['19881001', 325741]","['19890301', 54957]","['19871031', 215251]","['19890602', 260236]","['19861005', 292665]","['19881003', 429006]","['19880430', 63494]","['19840102', 221974]","['19880406', 189631]","['19860501', 238079]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19881031', 261914]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19820122', 228631]","['19821101', 136662]","['19860731', 146656]","['19880416', 200654]","['19830616', 314331]","['19890930', 247478]","['19820430', 279502]","['19881031', 212651]","['19890430', 371021]","['19831005', 265740]","['19880310', 235036]","['19890601', 240073]","['19890601', 298531]","['19871231', 114699]","['19831126', 147565]","['19890602', 281890]","['19850213', 236686]","['19880731', 105842]","['19890602', 328487]","['19820704', 233630]","['19861017', 269202]","['19831109', 187530]","['19840131', 446157]","['19840125', 466481]","['19890601', 500261]","['19820831', 313894]","['19820417', 256482]","['19890930', 215342]","['19860712', 375397]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830411', 315382]","['19840901', 279619]","['19820326', 190185]","['19870701', 124470]","['19860531', 103363]","['19870730', 347222]","['19820101', 293369]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19831130', 323667]","['19830616', 449352]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,"['19880310', 233313]","['19860724', 185302]","['19870731', 138873]","['19880430', 380235]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19820815', 299521]","['19890101', 317757]","['19860507', 273764]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19820413', 237946]","['19831109', 222822]","['19820317', 223936]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19860730', 203485]","['19890601', 326200]","['19820304', 257063]","['19880302', 275003]","['19871209', 320576]","['19890617', 268338]","['19881001', 86974]","['19850221', 219209]","['19890130', 105302]","['19831109', 198762]","['19860501', 17895]","['19850101', 62127]","['19890617', 256347]","['19890912', 317026]","['19890301', 54957]","['19871031', 215251]","['19890603', 257146]","['19861005', 292665]","['19890913', 313466]","['19880430', 63494]","['19840102', 221974]","['19880406', 189631]","['19820415', 232204]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831112', 244141]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19820122', 228631]","['19821101', 136662]","['19860731', 146656]","['19880417', 197133]","['19830616', 314331]","['19890930', 247478]","['19820430', 279502]","['19881031', 212651]","['19890430', 371021]","['19861008', 263908]","['19880311', 230727]","['19890601', 240073]","['19890601', 298531]","['19871231', 114699]","['19831126', 147565]","['19890610', 204649]","['19850221', 234242]","['19880731', 105842]","['19890605', 305639]","['19820704', 233630]","['19881017', 237028]","['19831109', 187530]","['19830401', 352924]","['19830401', 329004]","['19890428', 475048]","['19890915', 298050]","['19890407', 240936]","['19890930', 215342]","['19860720', 298647]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830401', 225269]","['19840901', 279619]","['19890403', 188096]","['19870701', 124470]","['19860531', 103363]","['19870731', 331232]","['19820101', 293369]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19871219', 235816]","['19890610', 207383]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,"['19880311', 230835]","['19860724', 185302]","['19870731', 138873]","['19880430', 380235]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19860730', 286527]","['19890101', 317757]","['19860507', 273764]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19820412', 237725]","['19831109', 222822]","['19820317', 223936]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19860730', 203485]","['19860531', 324665]","['19820304', 257063]","['19880302', 275003]","['19871214', 278845]","['19890615', 262669]","['19881001', 86974]","['19850221', 219209]","['19890130', 105302]","['19831109', 198762]","['19860501', 17895]","['19850101', 62127]","['19890617', 256347]","['19890918', 290409]","['19890301', 54957]","['19871031', 215251]","['19890603', 257146]","['19840930', 265694]","['19890918', 293847]","['19880430', 63494]","['19840102', 221974]","['19880406', 189631]","['19820415', 232204]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831112', 244141]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19840121', 212586]","['19821101', 136662]","['19860731', 146656]","['19880417', 197133]","['19830616', 314331]","['19890930', 247478]","['19820430', 279502]","['19881031', 212651]","['19860516', 228760]","['19861008', 263908]","['19880311', 230727]","['19890601', 240073]","['19890601', 298531]","['19871231', 114699]","['19831126', 147565]","['19890610', 204649]","['19850221', 234242]","['19880731', 105842]","['19890605', 305639]","['19820704', 233630]","['19881017', 237028]","['19831109', 187530]","['19830401', 352924]","['19830401', 329004]","['19860517', 235447]","['19890915', 298050]","['19890415', 203692]","['19890930', 215342]","['19860727', 282033]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830401', 225269]","['19840901', 279619]","['19890403', 188096]","['19870701', 124470]","['19860531', 103363]","['19820826', 324839]","['19820101', 293369]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19871215', 207975]","['19890610', 207383]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,"['19880312', 233720]","['19860724', 185302]","['19870731', 138873]","['19880428', 444603]","['19830601', 548610]","['19830601', 302189]","['19830411', 281681]","['19840131', 71575]","['19840902', 468186]","['19890103', 377024]","['19880428', 297511]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19860503', 467348]","['19831110', 223134]","['19880403', 406322]","['19820329', 227208]","['19860731', 74869]","['19830831', 174246]","['19830402', 178792]","['19861011', 869253]","['19830604', 334219]","['19820308', 272870]","['19850215', 432526]","['19821210', 416350]","['19880702', 429488]","['19881001', 86974]","['19850131', 273251]","['19890130', 105302]","['19821112', 349182]","['19860501', 17895]","['19850101', 62127]","['19880701', 332471]","['19881002', 342243]","['19890301', 54957]","['19871031', 215251]","['19830606', 469652]","['19861001', 325992]","['19820826', 436489]","['19880430', 63494]","['19830421', 811333]","['19880415', 260629]","['19860503', 302913]","['19820407', 374344]","['19860729', 211765]","['19831111', 714627]","['19830602', 413228]","['19880301', 66091]","['19890930', 34220]","['19881031', 261914]","['19821215', 273732]","['19820831', 103826]","['19820430', 15450]","['19820120', 231973]","['19821101', 136662]","['19860729', 188193]","['19830415', 455949]","['19830608', 383688]","['19890928', 309680]","['19820430', 279502]","['19881031', 212651]","['19830604', 668528]","['19831002', 282592]","['19880314', 246887]","['19830604', 475488]","['19830602', 450272]","['19871231', 114699]","['19831124', 155969]","['19830616', 418598]","['19850129', 276148]","['19880731', 105842]","['19830609', 460849]","['19890701', 259140]","['19840930', 362932]","['19831108', 190620]","['19840121', 459445]","['19850122', 563217]","['19880428', 613947]","['19820826', 344628]","['19820411', 293385]","['19890926', 336454]","['19820723', 315747]","['19831016', 362552]","['19840925', 350228]","['19861001', 169117]","['19830411', 315382]","['19820816', 429661]","['19830410', 463123]","['19870701', 124470]","['19860531', 103363]","['19890907', 421166]","['19820101', 293369]","['19840101', 176477]","['19880302', 137723]","['19831125', 304298]","['19840101', 325765]","['19830608', 472839]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,"['19880312', 233720]","['19860724', 185302]","['19870731', 138873]","['19880430', 380235]","['19890601', 373725]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19820815', 299521]","['19890101', 317757]","['19880430', 292893]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19860501', 391724]","['19831109', 222822]","['19820313', 227497]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19820816', 364946]","['19890601', 326200]","['19820305', 257158]","['19820306', 277589]","['19821211', 410644]","['19880701', 377375]","['19881001', 86974]","['19850213', 234943]","['19890130', 105302]","['19861108', 241075]","['19860501', 17895]","['19850101', 62127]","['19880701', 332471]","['19881001', 325741]","['19890301', 54957]","['19871031', 215251]","['19890603', 257146]","['19861004', 295878]","['19881001', 382649]","['19880430', 63494]","['19820110', 338888]","['19880406', 189631]","['19860501', 238079]","['19830410', 217914]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831113', 244153]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19820121', 228776]","['19821101', 136662]","['19860731', 146656]","['19880417', 197133]","['19830616', 314331]","['19890930', 247478]","['19820430', 279502]","['19881031', 212651]","['19890430', 371021]","['19831005', 265740]","['19880310', 235036]","['19890601', 240073]","['19890601', 298531]","['19871231', 114699]","['19831126', 147565]","['19890602', 281890]","['19850202', 255514]","['19880731', 105842]","['19890604', 308010]","['19890630', 253233]","['19861017', 269202]","['19831109', 187530]","['19830401', 352924]","['19830409', 459499]","['19890427', 498759]","['19820831', 313894]","['19820417', 256482]","['19890930', 215342]","['19820723', 315747]","['19861026', 244058]","['19831002', 241737]","['19861001', 169117]","['19830410', 304363]","['19840901', 279619]","['19820402', 191554]","['19870701', 124470]","['19860531', 103363]","['19820830', 358292]","['19820101', 293369]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19831130', 323667]","['19830616', 449352]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
