,dense,channel,extract_num,error,encoding_t,sampling_t,extract_t,compare_t,total_t,calc_total
256,64,32,0.1,0,0.012,1.925,0.133,10.275,12.353,10.408
256,64,32,1.0,0,0.008,1.895,0.133,54.558,56.608,54.691
256,64,32,5.0,0,0.008,1.904,0.133,261.959,264.017,262.092
256,64,32,10.0,0,0.008,1.906,0.134,518.064,520.125,518.198
256,64,64,0.1,0,0.008,1.904,0.133,9.191,11.25,9.324000000000002
256,64,64,1.0,0,0.008,1.897,0.133,53.866,55.917,53.999
256,64,64,5.0,0,0.009,1.905,0.133,260.835,262.895,260.968
256,64,64,10.0,0,0.008,1.899,0.133,518.058,520.112,518.191
256,128,32,0.1,0,0.017,2.162,0.164,8.824,11.179,8.988
256,128,32,1.0,0,0.018,2.362,0.165,54.174,56.732,54.339
256,128,32,5.0,0,0.015,2.152,0.164,261.181,263.526,261.345
256,128,32,10.0,0,0.015,2.143,0.163,518.541,520.875,518.7040000000001
256,128,64,0.1,0,0.015,2.141,0.162,9.195,11.526,9.357
256,128,64,1.0,0,0.015,2.153,0.163,54.396,56.741,54.559
256,128,64,5.0,0,0.015,2.138,0.162,262.229,264.558,262.391
256,128,64,10.0,0,0.016,2.143,0.163,520.99,523.325,521.153
256,256,32,0.1,0,0.034,2.636,0.216,9.135,12.034,9.351
256,256,32,1.0,0,0.029,2.639,0.217,54.001,56.901,54.218
256,256,32,5.0,0,0.034,2.612,0.217,261.046,263.923,261.263
256,256,32,10.0,0,0.03,2.609,0.215,518.304,521.172,518.519
256,256,64,0.1,0,0.03,2.612,0.216,9.16,12.03,9.376
256,256,64,1.0,0,0.039,2.595,0.215,54.076,56.939,54.291
256,256,64,5.0,0,0.029,2.611,0.215,260.994,263.864,261.209
256,256,64,10.0,0,0.028,2.625,0.216,517.409,520.293,517.625
64,64,32,0.1,0,0.008,1.89,0.133,8.986,11.03,9.119
64,64,32,1.0,0,0.007,1.896,0.131,55.016,57.064,55.147
64,64,32,5.0,0,0.007,1.893,0.131,264.851,266.896,264.982
64,64,32,10.0,0,0.008,1.91,0.131,526.636,528.7,526.7669999999999
64,64,64,0.1,0,0.007,1.889,0.134,9.208,11.252,9.342
64,64,64,1.0,0,0.007,1.895,0.131,54.892,56.939,55.023
64,64,64,5.0,0,0.007,1.906,0.132,264.912,266.972,265.044
64,64,64,10.0,0,0.007,1.895,0.132,525.831,527.88,525.963
64,128,32,0.1,0,0.016,2.125,0.163,8.98,11.298,9.143
