,dense,channel,extract_num,error,encoding_t,sampling_t,extract_t,compare_t,total_t,calc_total
256,64,32,0.1,0,0.045,8.413,0.689,33.93,43.083,34.619
256,64,32,0.1,0,0.006,1.201,0.105,5.707,7.029,5.812
256,64,32,1.0,0,0.004,1.2,0.105,36.286,37.611,36.391
256,128,32,0.1,0,0.01,1.322,0.115,6.117,7.577,6.232
256,128,32,1.0,0,0.011,1.324,0.115,36.121,37.585,36.236
256,256,32,0.1,0,0.02,1.567,0.135,6.061,7.798,6.196
256,256,32,1.0,0,0.019,1.564,0.135,36.339,38.07,36.474
64,64,32,0.1,0,0.004,1.196,0.104,6.216,7.533,6.32
64,64,32,1.0,0,0.004,1.204,0.104,36.165,37.492,36.269
64,128,32,0.1,0,0.009,1.321,0.114,5.891,7.347,6.005
64,128,32,1.0,0,0.011,1.331,0.113,36.5,37.969,36.613
64,256,32,0.1,0,0.021,1.577,0.134,5.835,7.58,5.969
64,256,32,1.0,0,0.019,1.57,0.133,36.157,37.894,36.29
16,64,32,0.1,0,0.005,1.216,0.103,6.063,7.399,6.166
16,64,32,1.0,0,0.004,1.212,0.103,35.974,37.307,36.077
16,128,32,0.1,0,0.011,1.329,0.113,5.75,7.216,5.863
16,128,32,1.0,0,0.009,1.319,0.113,36.58,38.035,36.693
16,256,32,0.1,0,0.023,1.576,0.133,5.736,7.481,5.869
16,256,32,1.0,0,0.019,1.572,0.133,36.235,37.973,36.368
4,64,32,0.1,0,0.004,1.422,0.102,5.815,7.357,5.917000000000001
4,64,32,1.0,0,0.004,1.199,0.105,36.314,37.634,36.419
4,128,32,0.1,0,0.011,1.332,0.112,6.115,7.583,6.227
4,128,32,1.0,0,0.009,1.326,0.112,36.201,37.661,36.313
256,64,32,0.1,0,0.006,1.3,0.109,5.794,7.234,5.903
256,64,32,1.0,0,0.005,1.298,0.109,36.225,37.666,36.334
256,128,32,0.1,0,0.012,1.428,0.118,6.304,7.888,6.422000000000001
256,128,32,1.0,0,0.009,1.424,0.118,35.988,37.565,36.106
256,256,32,0.1,0,0.025,1.673,0.134,6.016,7.877,6.15
256,256,32,1.0,0,0.021,1.67,0.135,36.513,38.365,36.648
64,64,32,0.1,0,0.005,1.304,0.108,5.874,7.317,5.981999999999999
64,64,32,1.0,0,0.005,1.297,0.108,35.695,37.131,35.803
64,128,32,0.1,0,0.011,1.423,0.116,5.97,7.546,6.085999999999999
